
Chile,1,0,0,0,0,0,3,3,0,0,0,0

Civic Hackers,195,7925,75951,27991,35574,150981946,1234,1101,0,12,83168,10193

Code For America,110,3329,17643,11793,17852,40682598,1336,1311,0,0,42347,19239

Code for All,22,1955,13262,9821,8978,23609940,307,295,0,0,39559,16830

Colombia,3,29,33,48,52,468879,2,2,0,0,0,0

Czech Republic,3,51,38,48,222,291989,6,5,0,0,2396,464

Denmark,5,132,107,92,210,581148,14,14,0,0,2004,544

Ecuador,3,11,0,0,11,294333,0,0,0,0,0,0

Egypt,1,1,0,0,0,0,1,1,0,0,0,0

Estonia,6,131,1805,674,259,3030849,3,3,0,0,1812,446

Ethiopia,1,1,37,16,0,36,3,3,0,0,1,1

European Union,1,146,316,278,213,4877414,13,13,0,0,5042,866

Finland,15,1145,2010,1506,5870,28989691,26,24,0,0,67779,5851

France,48,2036,22317,7932,12383,54872024,142,124,0,0,839054,645925

French Polynesia,4,78,29,15,46,56732,3,1,0,0,743,98

Germany,14,522,12429,2794,2976,7509674,98,97,0,1,34039,16710

Guatemala,1,3,2,4,3,517,1,1,0,0,0,0

Hong Kong,1,11,3,0,0,391,0,0,0,0,0,0

Hungary,1,2,16,1,0,5465,1,1,0,0,111,60

India,3,6,31,20,0,151533,4,4,0,0,12,12

International,5,128,754,870,865,2566704,17,17,0,0,3938,511

Ireland,1,7,641,152,14,18577,2,2,0,0,11,8

Isle of Man,1,5,9,1,0,8702,1,1,0,0,0,0

Israel,4,28,603,205,195,46193,2,1,0,0,301,107

Italy,9,817,8996,5368,4276,28061496,104,86,0,0,58670,13146

Japan,7,668,7434,2941,184,7849088,10,10,0,1,4936,2627

Jersey,1,5,9,5,9,86092,0,0,0,0,0,0

Kenya,1,2,1,0,0,832,1,1,0,0,0,0

Kosovo,1,1,0,2,10,2669,0,0,0,0,0,0

Latvia,1,9,21,6,5,3619,1,1,0,0,29,14

Lithuania,3,98,187,121,83,7421304,3,3,0,0,8594,2974

Luxemburg,2,11,31,24,96,798056,3,3,0,0,571,516

Madagascar,1,6,0,1,0,40507,0,0,0,0,1,1

Malaysia,1,1,0,0,0,0,0,0,0,0,0,0

Mauritius,1,6,0,2,0,37860,0,0,0,0,0,0

Mexico,10,150,63,145,116,2726828,30,28,0,0,2490,1043

New Zealand,14,223,600,315,751,3372372,10,10,0,0,5338,826

New Zealand Crown Research Institutes,5,114,111,125,125,1220491,7,7,0,0,1686,1067

Norway,27,2619,3232,1948,8381,23762479,95,95,0,0,134266,3025

Open Knowledge Foundation,20,1515,29372,12996,7056,22536813,232,196,0,0,13809,1182

Open Knowledge International,5,232,370,2262,2507,2773603,31,31,0,0,1707,186

Panama,2,5,10,5,6,85961,4,4,0,0,0,0

Paraguay,2,8,41,27,2,264962,0,0,0,0,0,0

Peru,1,7,4,1,6,199864,2,2,0,0,0,0

Philippines,2,9,24,69,7,44407,0,0,0,0,0,0

Poland,4,21,212,73,218,9937,6,6,0,0,0,0

Portugal,1,29,129,63,54,890404,1,1,0,0,841,345

Republic of Korea,1,64,10,5,19,2059593,0,0,0,0,230,168

Romania,3,67,167,103,312,365857,14,14,0,0,0,0

Russia,3,9,374,124,38,316100,0,0,0,0,8,4

Saudi Arabia,1,0,0,0,0,0,0,0,0,0,0,0

Singapore,9,324,1267,652,1161,2924219,13,12,0,0,11370,2307

Slovakia,1,2,13,3,17,12145,0,0,0,0,120,119

South Africa,2,14,14,22,77,367461,0,0,0,0,42,28

Spain,22,328,2000,931,1532,11501147,18,18,0,0,7415,2130

Sweden,46,1171,1538,811,2694,5952784,120,114,0,0,20741,2618

Switzerland,18,293,2048,703,787,7588830,43,33,0,0,45447,30145

The Netherlands,17,663,2070,1163,2229,19285897,47,47,0,0,61967,7242

U.K Research Centers,1,42,52,28,34,759779,2,2,0,0,776,340

U.K. Central,65,11822,46536,29339,28555,89061120,260,247,0,0,616341,54886

U.K. Councils,31,339,382,208,398,1370058,23,21,0,0,12604,463

U.S. City,63,1848,6633,2644,9955,44175325,94,91,0,3,33948,9424

U.S. County,19,318,249,326,767,2273289,15,15,0,0,3116,406

U.S. Federal,164,8216,120246,56541,51324,282281901,932,848,0,0,282940,20672

U.S. Local Law Enforcement,1,4,18,10,1,93737,0,0,0,0,1850,1831

U.S. Military and Intelligence,18,580,56963,13287,3483,16567769,27,27,0,0,23591,7828

U.S. Research Labs,103,5497,54765,25628,22261,274552680,671,591,0,7,254211,41439

U.S. Special District,9,305,312,166,1255,11690481,20,20,0,0,3462,767

U.S. States,51,835,1953,1001,2868,25080440,74,74,0,2,27956,6810

U.S. Tribal Nations,2,0,0,0,0,0,0,0,0,0,0,0

Ukraine,1,248,217,1198,984,145740,5,5,0,0,25,8

United Nations,24,948,2735,1970,3317,40116768,82,78,0,0,40941,3892

Uruguay,1,2,3,0,0,2406,1,1,0,0,0,0

Venezuela,2,48,16,13,40,627476,8,8,0,0,0,0

